alpha,J1,J2,theta_1,theta_2,tticks
3.000000e-02,6.417048e-02,2.074845e+00,-1.904929e+01,-5.863023e+00,3.600000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.878554e+01,-5.926691e+00,3.700000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.852847e+01,-5.988648e+00,3.800000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.827812e+01,-6.048978e+00,3.900000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.803451e+01,-6.107765e+00,4.000000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.779762e+01,-6.165098e+00,4.100000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.756744e+01,-6.221065e+00,4.200000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.734391e+01,-6.275753e+00,4.300000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.712699e+01,-6.329253e+00,4.400000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.691662e+01,-6.381654e+00,4.500000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.671274e+01,-6.433044e+00,4.600000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.651528e+01,-6.483515e+00,4.700000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.632418e+01,-6.533156e+00,4.800000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.613936e+01,-6.582058e+00,4.900000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.596078e+01,-6.630312e+00,5.000000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.578836e+01,-6.678010e+00,5.100000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.562207e+01,-6.725246e+00,5.200000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.546185e+01,-6.772115e+00,5.300000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.530766e+01,-6.818715e+00,5.400000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.515948e+01,-6.865145e+00,5.500000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.501729e+01,-6.911509e+00,5.600000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.488107e+01,-6.957913e+00,5.700000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.475084e+01,-7.004470e+00,5.800000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.462661e+01,-7.051296e+00,5.900000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.450841e+01,-7.098513e+00,6.000000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.439628e+01,-7.146253e+00,6.100000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.429031e+01,-7.194652e+00,6.200000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.419056e+01,-7.243860e+00,6.300000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.409716e+01,-7.294034e+00,6.400000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.401023e+01,-7.345346e+00,6.500000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.392994e+01,-7.397983e+00,6.600000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.385647e+01,-7.452147e+00,6.700000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.379005e+01,-7.508061e+00,6.800000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.373095e+01,-7.565972e+00,6.900000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.367948e+01,-7.626151e+00,7.000000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.363600e+01,-7.688901e+00,7.100000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.360094e+01,-7.754563e+00,7.200000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.357479e+01,-7.823518e+00,7.300000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.355814e+01,-7.896200e+00,7.400000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.355164e+01,-7.973103e+00,7.500000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.355610e+01,-8.054794e+00,7.600000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.357245e+01,-8.141925e+00,7.700000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.360177e+01,-8.235257e+00,7.800000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.364538e+01,-8.335681e+00,7.900000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.370482e+01,-8.444247e+00,8.000000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.378196e+01,-8.562210e+00,8.100000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.387908e+01,-8.691076e+00,8.200000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.399894e+01,-8.832680e+00,8.300000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.414497e+01,-8.989280e+00,8.400000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.432148e+01,-9.163692e+00,8.500000e-01
